
mm/dd,2003:LWG:tempc (C),2002:LWG:tempc (C),2001:LWG:tempc (C),2000:LWG:tempc (C),1999:LWG:tempc (C),1998:LWG:tempc (C),1997:LWG:tempc (C),1996:LWG:tempc (C),1995:LWG:tempc (C),1994:LWG:tempc (C),1993:LWG:tempc (C)
10/19,16.203,14.503,15.194,14.237,14.438,14.575,14.488,NA,14.271,NA,2.050
10/20,16.018,14.421,15.268,14.161,14.433,14.492,14.542,NA,13.883,NA,1.971
10/21,16.062,14.299,14.964,13.495,14.367,14.396,14.385,NA,13.771,NA,1.979
10/22,16.095,14.148,14.578,13.241,14.388,14.283,NA,NA,13.796,NA,1.971
10/23,15.430,13.716,14.087,12.945,14.067,14.017,NA,NA,13.525,NA,2.083
10/24,15.026,13.431,13.691,12.695,13.625,13.783,21.063,NA,13.238,NA,2.125
10/25,14.731,13.267,13.408,12.535,13.567,13.425,20.833,NA,12.888,NA,1.888
10/26,14.528,12.982,13.290,12.483,13.483,13.329,19.896,NA,12.417,NA,1.796
10/27,14.386,12.668,12.960,12.509,13.017,13.308,19.208,NA,12.071,NA,1.760
10/28,14.195,12.451,12.686,12.392,12.625,12.750,18.288,NA,11.838,NA,1.754
10/29,13.928,12.135,12.703,12.341,12.329,12.517,17.558,NA,11.258,NA,1.767
10/30,13.616,11.813,12.464,12.152,12.300,12.388,17.067,NA,10.942,NA,1.729
10/31,13.273,11.581,12.225,11.843,12.063,12.213,16.338,NA,10.608,NA,1.746
11/1,13.043,11.295,11.958,11.374,11.858,11.775,16.150,NA,10.242,NA,1.604
11/2,12.890,11.038,11.851,11.205,11.725,11.521,17.283,NA,9.833,NA,1.608
11/3,12.610,10.780,11.586,10.927,11.579,11.417,16.988,NA,9.408,NA,2.063
11/4,12.293,10.353,11.491,10.595,11.304,11.321,15.450,NA,9.129,NA,1.704
11/5,11.896,10.073,9.949,10.436,11.079,11.225,15.671,NA,9.050,NA,1.471
11/6,11.470,9.823,11.363,10.402,10.933,11.158,15.227,NA,8.950,NA,1.400
11/7,11.006,9.611,11.281,10.218,10.800,10.929,NA,NA,8.800,NA,1.317
11/8,10.684,9.293,11.158,9.982,10.638,10.658,NA,NA,8.829,NA,1.308
11/9,10.420,9.062,11.017,9.779,10.583,10.325,NA,NA,8.383,NA,1.292
11/10,10.017,8.902,10.814,9.550,10.433,10.233,NA,NA,8.067,NA,1.417
11/11,9.150,8.962,10.635,9.367,10.200,10.038,NA,NA,8.013,NA,1.279
11/12,9.235,8.904,10.516,9.041,10.092,9.763,NA,NA,7.629,NA,1.179
11/13,9.259,8.415,10.453,8.719,10.288,9.575,NA,NA,7.729,NA,1.171
11/14,8.616,8.088,10.438,8.406,10.179,9.458,16.822,NA,7.871,NA,1.129
11/15,8.268,8.018,10.380,8.204,9.983,9.446,16.913,NA,7.692,NA,1.263
11/16,7.970,7.953,10.287,8.019,9.900,9.279,17.163,NA,7.337,NA,1.358
11/17,7.588,7.937,9.981,7.761,9.900,9.104,17.038,NA,6.967,NA,1.338
11/18,7.453,8.033,9.836,7.498,9.917,8.904,16.629,NA,7.483,NA,1.267
11/19,7.532,8.034,9.797,7.113,9.942,8.742,16.325,NA,7.554,NA,1.275
11/20,7.565,8.153,9.578,6.774,10.100,8.604,15.575,NA,7.638,NA,1.196
11/21,7.498,8.205,9.395,6.410,10.100,8.613,15.304,NA,7.621,NA,1.304
11/22,7.412,8.120,9.234,6.246,10.017,8.571,14.908,NA,7.575,NA,1.267
11/23,7.244,8.100,9.149,6.125,9.838,8.500,15.188,NA,NA,NA,0.987
11/24,7.105,8.054,9.085,5.831,9.583,8.462,15.917,NA,NA,NA,0.900
11/25,6.944,7.983,9.003,5.661,9.371,8.396,16.167,NA,NA,NA,0.867
11/26,6.918,7.857,9.085,5.521,9.154,8.292,16.213,NA,NA,NA,0.890
11/27,7.080,7.758,9.032,5.435,8.963,8.187,15.867,NA,NA,NA,0.930
11/28,7.077,7.695,8.936,5.176,8.625,8.096,13.921,NA,NA,NA,0.986
11/29,7.276,7.640,8.837,4.980,8.225,8.000,12.971,NA,NA,NA,1.104
11/30,7.261,7.615,8.610,4.819,7.904,7.796,12.083,NA,NA,NA,1.250
12/1,7.227,7.602,8.483,4.810,7.617,7.563,12.854,NA,NA,NA,1.592
12/2,7.098,7.612,8.410,4.834,7.321,7.346,13.217,NA,NA,NA,1.715
12/3,6.945,7.662,8.308,4.865,6.963,7.200,13.271,NA,NA,NA,1.700
12/4,6.590,7.635,8.024,5.012,6.725,7.222,13.129,NA,NA,NA,1.679
12/5,6.372,7.558,7.763,5.175,6.483,7.175,13.188,NA,NA,NA,1.333
12/6,6.286,7.223,7.452,5.310,6.317,7.050,13.550,NA,NA,NA,1.142
12/7,6.140,7.087,7.227,5.293,6.179,6.838,12.650,NA,NA,NA,1.242
12/8,6.166,6.996,7.077,5.192,6.150,6.743,13.196,NA,NA,NA,1.642
12/9,6.195,6.959,6.752,5.023,6.238,NA,12.921,NA,NA,NA,1.725
12/10,6.262,6.651,6.504,4.937,6.421,NA,12.388,NA,NA,NA,2.046
12/11,6.312,6.330,6.381,4.763,6.354,5.836,11.779,NA,NA,NA,1.708
12/12,6.274,6.147,6.285,4.595,6.154,5.600,10.638,NA,NA,NA,1.496
12/13,6.273,6.028,6.256,4.475,5.696,5.375,9.879,NA,NA,NA,1.367
12/14,6.213,5.882,6.072,4.478,5.529,5.279,9.671,NA,NA,NA,1.392
12/15,6.013,5.867,5.835,4.409,5.579,5.342,9.650,NA,NA,NA,1.338
12/16,5.927,5.801,5.707,4.250,5.658,5.479,9.504,NA,NA,NA,1.304
12/17,5.884,5.772,5.508,4.044,5.700,5.413,9.725,NA,NA,NA,1.225
12/18,5.823,5.755,5.338,3.765,5.783,5.488,10.208,5.636,NA,NA,1.217
12/19,5.747,5.716,5.243,3.565,5.646,NA,9.817,5.571,NA,NA,1.125
12/20,5.624,5.643,5.168,3.566,5.417,5.109,9.075,5.325,NA,NA,1.121
12/21,5.576,5.510,5.139,3.553,5.458,4.575,11.917,5.100,NA,NA,1.192
12/22,5.493,5.456,5.110,3.452,5.413,4.496,12.288,4.917,NA,NA,1.121
12/23,5.453,5.428,5.112,3.503,5.279,4.250,14.333,4.713,NA,NA,1.209
12/24,5.462,5.425,4.893,3.464,5.267,3.813,14.738,4.433,NA,NA,1.204
12/25,5.439,5.572,4.656,3.366,5.121,3.017,14.654,4.217,NA,NA,1.079
12/26,5.350,5.633,4.562,3.373,5.092,2.504,15.296,4.187,NA,NA,1.083
12/27,5.200,5.655,4.451,3.442,4.996,2.508,14.596,4.187,NA,NA,1.046
12/28,5.074,5.613,4.403,3.515,4.963,3.275,13.933,3.967,NA,NA,1.100
12/29,4.837,NA,4.311,3.553,4.992,3.742,14.388,3.804,NA,NA,1.121
12/30,4.549,5.269,4.284,3.463,5.008,4.054,13.396,3.654,NA,NA,1.121
12/31,4.398,5.062,4.240,3.470,4.946,4.317,12.229,3.954,NA,NA,1.292


Notes:
Columbia River DART
Generated 19 Dec 2023 12:59:09 PST. DART River Environment Graphics & Text www.cbr.washington.edu/dart/query/river_graph_text.

"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2023). River Environment Graphics & Text. Available from https://www.cbr.washington.edu/dart/query/river_graph_text."
