
mm/dd,2018:LWG:tempc (C),2017:LWG:tempc (C),2016:LWG:tempc (C),2015:LWG:tempc (C),2014:LWG:tempc (C),2013:LWG:tempc (C),2012:LWG:tempc (C),2011:LWG:tempc (C),2010:LWG:tempc (C),2009:LWG:tempc (C),2008:LWG:tempc (C),2007:LWG:tempc (C),2006:LWG:tempc (C),2005:LWG:tempc (C),2004:LWG:tempc (C)
8/12,18.817,19.871,18.558,20.153,19.233,18.264,19.050,18.828,19.358,18.658,19.349,18.701,19.204,21.408,24.000
8/13,19.283,19.582,18.439,20.295,18.847,18.359,18.723,18.833,19.144,18.885,19.219,18.347,19.230,20.852,24.048
8/14,20.097,18.993,18.545,20.464,18.491,18.386,18.552,18.580,18.868,18.893,18.831,18.566,19.550,21.150,24.148
8/15,20.401,19.102,18.800,20.324,18.757,17.948,18.233,18.315,18.900,18.709,18.785,19.056,19.130,22.023,24.140
8/16,19.963,19.280,18.872,20.578,18.952,18.049,18.146,18.600,18.740,18.502,19.230,19.137,18.635,21.886,24.343
8/17,19.671,19.127,19.086,20.706,18.822,18.556,18.934,18.595,18.842,18.378,19.536,18.488,18.341,20.953,23.710
8/18,19.528,19.269,18.480,20.602,19.148,18.999,19.095,18.333,18.668,18.255,19.615,19.004,18.888,21.023,23.705
8/19,19.814,19.139,18.800,20.750,19.773,19.146,18.818,18.188,18.411,18.301,18.824,18.952,19.058,21.191,24.503
8/20,20.184,19.415,19.141,20.490,19.313,18.999,18.479,18.335,18.553,18.525,18.850,19.370,18.656,21.715,24.614
8/21,20.442,19.937,19.043,19.897,19.823,19.401,18.700,18.500,18.394,18.378,19.250,19.288,19.165,21.631,23.827
8/22,20.710,20.401,18.768,20.392,20.188,19.725,18.856,18.547,18.309,17.902,18.917,18.410,18.913,20.846,23.008
8/23,20.633,20.269,18.585,21.366,20.325,20.641,18.929,18.158,18.407,18.290,18.469,18.247,18.263,19.966,22.325
8/24,20.020,19.636,19.059,21.320,20.864,18.809,18.858,18.309,18.533,18.890,18.305,18.065,18.606,19.911,22.116
8/25,20.024,19.309,18.958,20.756,20.461,19.065,19.783,18.753,18.495,19.171,17.992,18.033,18.603,20.710,21.815
8/26,19.993,19.576,19.080,20.705,19.954,19.349,19.366,18.791,18.022,18.508,17.617,17.513,18.959,21.016,21.234
8/27,19.751,19.841,19.265,21.986,20.070,19.151,18.995,18.990,17.863,18.624,17.559,17.844,19.323,20.763,21.020
8/28,20.155,20.122,18.938,20.868,19.479,19.260,18.433,19.213,17.231,19.128,17.423,18.465,19.495,20.754,20.876
8/29,19.923,20.057,18.970,19.992,19.409,19.440,18.154,19.173,17.602,18.871,17.358,18.707,18.561,20.191,21.009
8/30,19.278,19.659,19.173,19.548,18.737,19.183,18.630,18.898,17.735,18.860,16.968,18.881,18.610,19.765,21.536
8/31,18.663,19.205,19.070,19.308,18.870,19.578,18.855,19.151,17.621,19.528,16.421,18.705,18.708,20.001,21.668
9/1,18.624,19.701,19.028,19.392,19.162,NA,18.745,19.532,17.202,20.023,16.634,18.681,19.182,20.223,20.829
9/2,18.744,20.381,19.325,19.110,19.533,NA,18.895,19.325,NA,20.172,17.465,18.793,19.224,20.510,19.628
9/3,19.042,20.718,19.349,18.930,19.355,20.296,19.312,19.124,NA,19.705,17.186,18.900,19.159,19.829,19.114
9/4,19.166,20.754,19.275,19.361,19.269,20.453,19.130,18.995,NA,19.862,16.695,18.905,18.767,19.387,19.157
9/5,NA,20.919,19.155,19.438,19.282,20.483,18.895,18.538,NA,20.197,16.500,18.653,18.377,19.317,18.751
9/6,NA,20.939,19.486,19.488,19.198,20.116,18.778,18.002,NA,19.623,16.607,19.205,18.139,19.585,19.059
9/7,NA,20.652,19.624,19.193,19.054,20.071,18.553,17.989,NA,19.453,16.724,19.310,18.110,19.614,19.420
9/8,NA,20.482,NA,18.519,18.786,20.129,19.244,18.535,NA,19.248,17.039,19.240,18.253,20.027,19.281
9/9,NA,20.088,NA,18.100,18.317,20.240,19.104,18.533,NA,19.241,17.467,19.592,18.263,19.442,18.880
9/10,NA,19.853,NA,17.672,17.859,20.487,18.760,18.598,NA,18.673,17.557,19.710,18.029,19.201,18.755
9/11,NA,20.319,NA,17.439,18.020,20.773,18.689,19.010,NA,18.128,17.465,20.043,18.876,19.297,19.045
9/12,NA,20.624,NA,17.653,18.550,NA,18.798,19.325,NA,17.943,17.610,19.803,19.073,19.104,18.699
9/13,NA,NA,NA,17.769,18.089,NA,18.815,19.481,NA,17.971,17.705,19.200,19.018,18.915,18.458
9/14,NA,NA,NA,17.676,17.661,NA,18.771,19.718,NA,18.225,17.556,18.966,18.758,18.772,18.270
9/15,NA,NA,NA,17.654,17.560,NA,18.507,19.752,NA,18.329,17.847,18.735,18.690,18.563,18.116
9/16,NA,NA,NA,18.246,17.283,NA,18.263,19.722,NA,18.970,18.131,18.613,18.365,18.205,17.906
9/17,NA,NA,NA,18.627,16.971,NA,18.043,19.646,NA,19.023,18.230,18.608,18.290,17.896,17.816
9/18,NA,NA,NA,18.504,16.853,NA,18.195,19.748,NA,19.310,18.174,18.848,18.286,18.053,17.376
9/19,NA,NA,NA,18.204,16.744,NA,18.561,19.717,NA,19.693,18.153,18.855,18.076,18.177,17.303
9/20,NA,NA,NA,18.128,17.203,NA,18.520,19.582,NA,19.708,18.153,18.819,17.910,17.887,17.185
9/21,NA,NA,NA,17.894,17.566,NA,18.485,NA,NA,19.695,17.989,18.742,NA,17.612,17.384
9/22,NA,NA,NA,17.766,18.008,NA,18.460,NA,NA,19.809,17.882,18.738,NA,17.484,17.593
9/23,NA,NA,NA,18.277,18.418,NA,18.401,NA,NA,19.946,17.778,18.495,NA,17.523,17.653
9/24,NA,NA,NA,18.208,18.420,NA,18.426,NA,NA,20.018,17.784,18.331,NA,17.408,17.680
9/25,NA,NA,NA,18.167,18.364,NA,18.470,NA,NA,20.010,17.861,18.190,NA,17.375,17.828
9/26,NA,NA,NA,18.588,NA,NA,18.559,NA,NA,19.917,17.909,18.068,NA,17.508,17.536
9/27,NA,NA,NA,18.288,NA,NA,18.615,NA,NA,19.683,17.883,NA,NA,17.209,17.721
9/28,NA,NA,NA,18.283,NA,NA,18.717,NA,NA,19.640,17.790,NA,NA,17.239,18.155
9/29,NA,NA,NA,18.278,NA,NA,18.675,NA,NA,19.402,17.818,NA,NA,17.090,17.967
9/30,NA,NA,NA,18.339,NA,NA,18.647,NA,NA,19.179,17.781,NA,NA,16.947,17.273
10/1,NA,NA,NA,18.298,NA,NA,18.576,NA,NA,18.952,17.613,NA,NA,16.778,17.204
10/2,NA,NA,NA,18.316,NA,NA,18.552,NA,NA,18.770,NA,NA,NA,16.685,17.463
10/3,NA,NA,NA,18.039,NA,NA,18.447,NA,NA,18.570,NA,NA,NA,16.494,17.621
10/4,NA,NA,NA,18.013,NA,NA,NA,NA,NA,18.313,NA,NA,NA,16.298,17.445
10/5,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.939,NA,NA,NA,16.168,17.403
10/6,NA,NA,NA,18.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.098,17.071
10/7,NA,NA,NA,18.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.952,16.979
10/8,NA,NA,NA,17.833,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.802,16.979
10/9,NA,NA,NA,17.846,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.668,16.584
10/10,NA,NA,NA,17.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.591,16.535
10/11,NA,NA,NA,17.570,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.688,16.468
10/12,NA,NA,NA,17.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.510,16.418
10/13,NA,NA,NA,17.620,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.395,16.413
10/14,NA,NA,NA,17.472,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.286,16.322
10/15,NA,NA,NA,17.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.033,16.114
10/16,NA,NA,NA,17.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.785,15.823
10/17,NA,NA,NA,17.540,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.916,15.797
10/18,NA,NA,NA,17.428,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.913,15.614
10/19,NA,NA,NA,17.410,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.741,15.408
10/20,NA,NA,NA,17.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.440,15.257
10/21,NA,NA,NA,17.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.628,15.015
10/22,NA,NA,NA,17.090,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.658,14.765
10/23,NA,NA,NA,16.949,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.550,14.558
10/24,NA,NA,NA,16.762,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.460,14.240
10/25,NA,NA,NA,16.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.366,14.056
10/26,NA,NA,NA,16.380,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.201,13.814
10/27,NA,NA,NA,16.224,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.128,13.510
10/28,NA,NA,NA,15.944,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.018,13.186
10/29,NA,NA,NA,15.807,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.825,12.906
10/30,NA,NA,NA,15.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.731,12.693
10/31,NA,NA,NA,15.360,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.608,12.440
11/1,NA,NA,NA,15.251,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.455,12.142
11/2,NA,NA,NA,14.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.227,11.986
11/3,NA,NA,NA,14.799,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.990,11.590
11/4,NA,NA,NA,14.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.717,11.332
11/5,NA,NA,NA,14.136,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.434,11.169
11/6,NA,NA,NA,13.848,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.113,10.780
11/7,NA,NA,NA,13.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.766,10.644
11/8,NA,NA,NA,13.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.448,10.343
11/9,NA,NA,NA,13.189,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.375,10.142
11/10,NA,NA,NA,12.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.128,10.083
11/11,NA,NA,NA,12.449,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.874,9.888
11/12,NA,NA,NA,12.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.565,9.847
11/13,NA,NA,NA,11.900,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.352,9.705
11/14,NA,NA,NA,11.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.077,9.513
11/15,NA,NA,NA,11.647,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.859,9.458
11/16,NA,NA,NA,11.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.612,9.243
11/17,NA,NA,NA,10.801,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.279,9.214
11/18,NA,NA,NA,10.574,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.081,9.009
11/19,NA,NA,NA,10.399,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.787,8.838
11/20,NA,NA,NA,10.200,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.605,8.662
11/21,NA,NA,NA,9.860,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.451,8.549
11/22,NA,NA,NA,9.577,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.282,8.414
11/23,NA,NA,NA,9.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.099,8.229
11/24,NA,NA,NA,9.049,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.922,8.092
11/25,NA,NA,NA,8.883,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.815,8.139
11/26,NA,NA,NA,8.659,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.536,8.106
11/27,NA,NA,NA,8.328,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.325,7.935
11/28,NA,NA,NA,8.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.162,7.693
11/29,NA,NA,NA,7.776,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.987,7.441
11/30,NA,NA,NA,7.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.847,7.112
12/1,NA,NA,NA,7.158,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.730,6.754
12/2,NA,NA,NA,6.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.673,6.582
12/3,NA,NA,NA,6.658,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.614,6.449
12/4,NA,NA,NA,6.570,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.536,6.293
12/5,NA,NA,NA,6.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.388,6.080
12/6,NA,NA,NA,6.057,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.249,5.918
12/7,NA,NA,NA,5.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.980,5.588
12/8,NA,NA,NA,5.921,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.613,5.467
12/9,NA,NA,NA,5.884,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.337,5.228
12/10,NA,NA,NA,5.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.010,5.201
12/11,NA,NA,NA,5.007,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.718,4.988
12/12,NA,NA,NA,5.204,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.482,4.895
12/13,NA,NA,NA,5.703,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.276,4.830
12/14,NA,NA,NA,5.920,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.145,4.752
12/15,NA,NA,NA,5.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.873,4.853
12/16,NA,NA,NA,5.611,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.481,5.288
12/17,NA,NA,NA,5.389,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.097,5.727
12/18,NA,NA,NA,5.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.600,5.668
12/19,NA,NA,NA,5.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.345,5.592
12/20,NA,NA,NA,5.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.342,5.566
12/21,NA,NA,NA,5.139,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.470,5.558
12/22,NA,NA,NA,5.169,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.621,5.533
12/23,NA,NA,NA,5.137,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.718,5.437
12/24,NA,NA,NA,5.000,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.836,5.196
12/25,NA,NA,NA,4.896,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.955,4.953
12/26,NA,NA,NA,4.719,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.129,4.861
12/27,NA,NA,NA,4.586,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.279,4.654
12/28,NA,NA,NA,4.531,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.448,4.507
12/29,NA,NA,NA,4.610,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.947,4.384
12/30,NA,NA,NA,4.591,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.561,4.355
12/31,NA,NA,NA,4.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.510,4.252


Notes:
Columbia River DART
Generated 19 Dec 2023 12:58:43 PST. DART River Environment Graphics & Text www.cbr.washington.edu/dart/query/river_graph_text.

"DART Data Citation. Columbia River DART, Columbia Basin Research, University of Washington. (2023). River Environment Graphics & Text. Available from https://www.cbr.washington.edu/dart/query/river_graph_text."
